Id,Start time,Completion time,Email,Name,"What do you envision yourself doing 5 minutes before class starts each day, to ensure that you are ready to start on time?",Do you have a second monitor connected to your computer?,Do you have an external keyboard and mouse?,"How do you plan to take notes for this class – in a doc on your computer, with pen and paper, or something else? ","What is one question that you have right now, about this course generally or about a specific topic we’ll be talking about?"
1,,4/6/2026 13:09,anonymous,,I envision myself reviewing the material that we covered in the previous class/assignments. ,mac laptop,keyboard yes but not mouse but can get one,With pen and paper,Tutor support/ in person support for those not remote. 
2,4/7/2026 13:07,4/6/2026 13:09,anonymous,,i envision that i will completely and be ready for class.,Yes,Yes,On my computer,What else can i learn
3,4/8/2026 13:07,4/6/2026 13:10,anonymous,,I ensure I have my devices charged and my notebook is near me and ready to go. That way I am prepared with no interruptions or disruptions. ,Yes,No,With pen and paper,Do we present our capstone projects or are we just submitting our capstones and moving on to the next?
4,4/9/2026 13:07,4/6/2026 13:10,anonymous,,review if I need to do any work that i missed or review any notes for the last class,Yes,No,both,will we have tutoring if needed? 
5,4/10/2026 13:07,4/6/2026 13:10,anonymous,,Practice Git Bash Essentials,no,Yes,On my computer,"How much SQL and Python are we going to learn. Introductory, Intermediary, or all of the material"
6,4/11/2026 13:07,4/6/2026 13:10,anonymous,,Looking over my last notes and preparing my otebook for new ones,I have 3 monitors on my PC in addtion to my laptop,Yes,Ipad,Nothing as of now
7,4/12/2026 13:07,4/6/2026 13:10,anonymous,,What I envision myself doing five minutes before class each day is becoming settled at my laptop and then accessing the link for zoom for my class. ,"I do not have a second monitor at the moment, but I do plan to at least purchase one soon when I am able. ",Yes,On my computer,"One question that I do have is more so about Python and SQL, but I understand that those questions will be answered over time as well. "
8,4/13/2026 13:07,4/6/2026 13:10,anonymous,,Get ready for class,Yes,Yes,Both,No questions yet
9,4/14/2026 13:07,4/6/2026 13:10,anonymous,,Recentering and getting my mind ready to learn ,Yes,Yes,On my computer,n/a
10,4/15/2026 13:07,4/6/2026 13:10,anonymous,,"I envision myself, being into the waiting room 5 minutes before each class to make sure that I arrive on time. During the time I am in the waiting room I will have my notes ready for the lesson.",Yes,Yes,On my computer,
11,4/16/2026 13:07,4/6/2026 13:10,anonymous,,"Making sure I have gone to the bathroom, Camera ready, and ready to take notes. ",Yes,No,Ipad,How well I will digest all this information and would I be able to apply this?
12,4/17/2026 13:07,4/6/2026 13:10,anonymous,,"Logging into check my YUU emails or notifications, making sure my Zoom links work, and having a notebook/agenda next to me during my classes",no,No,With pen and paper,I want to know more about the tutoring services 
13,4/18/2026 13:07,4/6/2026 13:10,anonymous,,"Five minutes before class, I log in to make sure that all of my technology is working smoothly.",No.,No,On my computer,"I currently don't have any questions, but I will ask for help if I need it! Thank you!"
14,4/19/2026 13:07,4/6/2026 13:10,anonymous,,Drinking coffee and waking up,No,Yes,On my computer,How hard will this course get?
15,4/20/2026 13:07,4/6/2026 13:10,anonymous,,being on time and see if I am able to join the class,Yes,Yes,On my computer,N/A
16,4/21/2026 13:07,4/6/2026 13:11,anonymous,,I like to be prepared 30 minutes before so that I can have a not rushed or stressful start,another laptop,No,With pen and paper,Is DataAnalytics a something where u will constantly/continuously be learning even when you get into your field?
17,4/22/2026 13:07,4/6/2026 13:11,anonymous,,"5 minutes before class, I am usually already logged in on Outlook Mail and Calendar, and I am also already logged in on Zoom and Brightspace.",Yes,No,With pen and paper,I am curious about how we will apply all the concepts we will learn in the real world and data analytics work.
18,4/23/2026 13:07,4/6/2026 13:12,anonymous,,Getting myself together mentally. Making sure I have everything that's needed ,An Ipad,Just a mouse ,With pen and paper,more Data information 
19,4/24/2026 13:07,4/6/2026 13:12,anonymous,,The first 5 minutes before class i will review material from the day before to refresh my mind.,Yes,Yes,With pen and paper,
20,4/25/2026 13:07,4/6/2026 13:12,anonymous,,"Checking and being in the zoom already, having a notebook and pen, and reviewed notes.",Yes,Yes,With pen and paper,"If capstones are done early and you check it and something is wrong, can we have the chance to resubmit it if it is before the due date?"
21,4/26/2026 13:07,4/6/2026 13:12,anonymous,,I stay in front of my device with my book on my right.,No,No,With pen and paper,Gaining access to pluralsight
22,4/27/2026 13:07,4/6/2026 13:12,anonymous,,"Five minutes before class starts, I plan to be fully logged in and ready with all materials prepared. I will have my laptop open, the class meeting joined, and any required files or notes ready.",No,Yes,With pen and paper,One question I have is: how can I best practice the concepts we learn outside of class to improve my skills more effectively?
23,4/28/2026 13:07,4/6/2026 13:12,anonymous,,"Making sure my devices are connected and work properly, ",No,Yes,On my computer on and with a pen and paper,How productive will I be with this knowledge 
24,4/29/2026 13:07,4/6/2026 13:13,anonymous,,"Before class starts each day, I want to grab an energy drink/coffee and set up my workstation beforehand. Ensuring my laptop is plugged in, connected to a reliable network, and I have the labwork and study guide file opened. I also want to have a notebook and pen to write notes.","I don't have a second monitor, only a second laptop.",No,With pen and paper,"Will we ever be required to present findings as part of a capstone, to ensure we build our storytelling skills as aspiring data analysts?"
25,4/30/2026 13:07,4/6/2026 13:18,anonymous,,I am settled and ready to go. ,Yes,No,On my computer,How to setup everything so I can complete all my projects and assignments on time.
